('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         802143 function calls (778958 primitive calls) in 1.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      924    1.117    0.001    1.117    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.048    0.048    0.048    0.048 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.042    0.042    0.042    0.042 {method 'connect' of '_socket.socket' objects}
     3411    0.026    0.000    0.155    0.000 parser.py:301(parse_starttag)
    31135    0.024    0.000    0.024    0.000 {method 'match' of 're.Pattern' objects}
        2    0.023    0.012    0.287    0.143 parser.py:134(goahead)
 4650/168    0.022    0.000    0.063    0.000 _parser.py:512(_parse)
        1    0.022    0.022    0.022    0.022 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
    87568    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
 5327/162    0.014    0.000    0.034    0.000 _compiler.py:37(_compile)
     3411    0.013    0.000    0.055    0.000 _htmlparser.py:204(handle_endtag)
     3411    0.013    0.000    0.020    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     7076    0.013    0.000    0.042    0.000 __init__.py:826(endData)
53921/53917    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
     3216    0.012    0.000    0.073    0.000 parser.py:379(parse_endtag)
     3411    0.011    0.000    0.068    0.000 __init__.py:987(handle_starttag)
      131    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
        1    0.011    0.011    0.011    0.011 {built-in method _socket.getaddrinfo}
      280    0.009    0.000    0.118    0.000 __init__.py:280(_compile)
     3411    0.009    0.000    0.081    0.000 _htmlparser.py:142(handle_starttag)
     3412    0.009    0.000    0.033    0.000 element.py:1626(__init__)
68438/62329    0.008    0.000    0.009    0.000 {built-in method builtins.len}
     9868    0.008    0.000    0.008    0.000 element.py:376(setup)
    10166    0.007    0.000    0.007    0.000 {method 'search' of 're.Pattern' objects}
    28337    0.007    0.000    0.010    0.000 _parser.py:168(__getitem__)
     3410    0.007    0.000    0.014    0.000 __init__.py:950(_popToTag)
    17973    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     3411    0.006    0.000    0.006    0.000 __init__.py:786(popTag)
 1183/162    0.006    0.000    0.063    0.000 _parser.py:452(_parse_sub)
      778    0.006    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
     3228    0.005    0.000    0.012    0.000 __init__.py:867(object_was_parsed)
  448/443    0.005    0.000    0.050    0.000 {built-in method builtins.__build_class__}
    13543    0.005    0.000    0.010    0.000 _markupbase.py:44(updatepos)
    18189    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
 5234/302    0.005    0.000    0.008    0.000 _parser.py:178(getwidth)
     9891    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
3835/3805    0.005    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa44b40}
     3228    0.005    0.000    0.010    0.000 element.py:1291(__new__)
    14395    0.005    0.000    0.007    0.000 _parser.py:261(get)
     3412    0.005    0.000    0.005    0.000 __init__.py:809(pushTag)
        1    0.004    0.004    0.004    0.004 {method '_wrap_socket' of '_ssl._SSLContext' objects}
    22562    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
