('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         836748 function calls (812480 primitive calls) in 2.739 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      626    1.912    0.003    1.912    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.178    0.178    0.178    0.178 {built-in method _socket.getaddrinfo}
        1    0.054    0.054    0.054    0.054 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.043    0.043    0.043    0.043 {method 'connect' of '_socket.socket' objects}
     3411    0.027    0.000    0.151    0.000 parser.py:301(parse_starttag)
    31212    0.024    0.000    0.024    0.000 {method 'match' of 're.Pattern' objects}
        1    0.024    0.024    0.024    0.024 {method '_wrap_socket' of '_ssl._SSLContext' objects}
 4759/198    0.022    0.000    0.065    0.000 _parser.py:512(_parse)
        1    0.022    0.022    0.022    0.022 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.018    0.009    0.244    0.122 parser.py:134(goahead)
 5521/190    0.014    0.000    0.034    0.000 _compiler.py:37(_compile)
      166    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
     3411    0.013    0.000    0.019    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     3411    0.012    0.000    0.070    0.000 __init__.py:987(handle_starttag)
       80    0.011    0.000    0.011    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    90819    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
     3411    0.009    0.000    0.082    0.000 _htmlparser.py:142(handle_starttag)
     9868    0.009    0.000    0.009    0.000 element.py:376(setup)
     3412    0.008    0.000    0.032    0.000 element.py:1626(__init__)
     7076    0.008    0.000    0.036    0.000 __init__.py:826(endData)
71358/65054    0.008    0.000    0.009    0.000 {built-in method builtins.len}
     3216    0.008    0.000    0.049    0.000 parser.py:379(parse_endtag)
    29582    0.007    0.000    0.010    0.000 _parser.py:168(__getitem__)
56318/56310    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
    10222    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
  551/546    0.006    0.000    0.051    0.000 {built-in method builtins.__build_class__}
    17973    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
 1270/190    0.006    0.000    0.066    0.000 _parser.py:452(_parse_sub)
      901    0.005    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
     3411    0.005    0.000    0.037    0.000 _htmlparser.py:204(handle_endtag)
     3410    0.005    0.000    0.011    0.000 __init__.py:950(_popToTag)
    13543    0.005    0.000    0.009    0.000 _markupbase.py:44(updatepos)
     3228    0.005    0.000    0.012    0.000 __init__.py:867(object_was_parsed)
    16688    0.005    0.000    0.007    0.000 _parser.py:261(get)
     3412    0.005    0.000    0.006    0.000 __init__.py:809(pushTag)
 5468/371    0.005    0.000    0.008    0.000 _parser.py:178(getwidth)
3954/3924    0.005    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa44b40}
    23006    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     3228    0.004    0.000    0.009    0.000 element.py:1291(__new__)
     9895    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
        1    0.004    0.004    0.040    0.040 dammit.py:128(_populate_class_variables)
7063/7038    0.004    0.000    0.009    0.000 typing.py:392(inner)
    25504    0.004    0.000    0.004    0.000 _parser.py:240(__next)
        1    0.004    0.004    0.004    0.004 models.py:909(text)
    19078    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     3228    0.004    0.000    0.006    0.000 __init__.py:732(string_container)
     3411    0.004    0.000    0.005    0.000 __init__.py:786(popTag)
    15682    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      876    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     2505    0.003    0.000    0.004    0.000 __init__.py:91(_replace_charref)
      9/7    0.003    0.000    0.004    0.001 {built-in method _imp.create_dynamic}
       35    0.003    0.000    0.277    0.008 {method 'join' of 'bytes' objects}
     3410    0.003    0.000    0.032    0.000 __init__.py:1053(handle_endtag)
     2633    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
    18851    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     3411    0.003    0.000    0.011    0.000 parser.py:345(check_for_whole_start_tag)
      427    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    14507    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    13227    0.002    0.000    0.003    0.000 _parser.py:256(match)
    12544    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
      905    0.002    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
      166    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
     1826    0.002    0.000    0.002    0.000 __init__.py:906(_linkage_fixer)
      166    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      311    0.002    0.000    0.113    0.000 __init__.py:280(_compile)
      288    0.002    0.000    0.262    0.001 {method 'read' of '_io.BufferedReader' objects}
     7465    0.002    0.000    0.003    0.000 _parser.py:176(append)
       16    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
     2286    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     7803    0.002    0.000    0.008    0.000 __init__.py:122(unescape)
6270/6202    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
       82    0.002    0.000    0.012    0.000 response.py:105(decompress)
     6644    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3133    0.001    0.000    0.003    0.000 _htmlparser.py:222(handle_data)
     3411    0.001    0.000    0.002    0.000 element.py:1820(is_empty_element)
       10    0.001    0.000    0.006    0.001 filter.py:129(filter)
      122    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     3872    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     4030    0.001    0.000    0.003    0.000 filter.py:721(match)
      218    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     6913    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      804    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
       53    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
      901    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
     7311    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    221/4    0.001    0.000    0.245    0.061 <frozen importlib._bootstrap>:1349(_find_and_load)
      262    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      166    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     9183    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     4305    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     3260    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
      626    0.001    0.000    1.913    0.003 ssl.py:1237(recv_into)
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      626    0.001    0.000    1.915    0.003 socket.py:693(readinto)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    10251    0.001    0.000    0.001    0.000 typing.py:2154(cast)
      332    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     4251    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
    168/1    0.001    0.000    2.739    2.739 {built-in method builtins.exec}
     3412    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     4384    0.001    0.000    0.005    0.000 {built-in method builtins.next}
       10    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
      190    0.001    0.000    0.007    0.000 _compiler.py:511(_compile_info)
    220/4    0.001    0.000    0.245    0.061 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      942    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     2115    0.001    0.000    0.002    0.000 filter.py:538(matches_tag)
      190    0.001    0.000    0.109    0.001 _compiler.py:740(compile)
     1057    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
    56/16    0.001    0.000    0.013    0.001 css_parser.py:925(parse_selectors)
     3654    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      380    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     3412    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      626    0.001    0.000    1.912    0.003 ssl.py:1095(read)
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      310    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
     4050    0.001    0.000    0.001    0.000 element.py:2771(descendants)
     3298    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      166    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     2877    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
    446/8    0.001    0.000    0.244    0.030 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      867    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
     3823    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      200    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
    193/4    0.001    0.000    0.245    0.061 <frozen importlib._bootstrap>:911(_load_unlocked)
      193    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     3411    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
