('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         801995 function calls (778808 primitive calls) in 1.888 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    87570    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
68442/62331    0.007    0.000    0.008    0.000 {built-in method builtins.len}
53923/53919    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    31135    0.022    0.000    0.022    0.000 {method 'match' of 're.Pattern' objects}
    28339    0.006    0.000    0.009    0.000 _parser.py:168(__getitem__)
    23032    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    22562    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    18851    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    18189    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    17973    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
    14632    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    14395    0.004    0.000    0.006    0.000 _parser.py:261(get)
    14079    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    13543    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
    12528    0.002    0.000    0.003    0.000 _parser.py:256(match)
    12137    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
    10250    0.001    0.000    0.001    0.000 typing.py:2154(cast)
    10166    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
     9891    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
     9868    0.007    0.000    0.007    0.000 element.py:376(setup)
     8835    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     7803    0.001    0.000    0.011    0.000 __init__.py:122(unescape)
     7115    0.002    0.000    0.003    0.000 _parser.py:176(append)
     7076    0.008    0.000    0.033    0.000 __init__.py:826(endData)
7052/7027    0.003    0.000    0.009    0.000 typing.py:392(inner)
     6913    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     6571    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     6443    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
     5984    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     5655    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
